F4/5 Family ID,No of plants required,flowering time,,,620 plants,,,,,,,,,,,,,,
F5_MBxKS_121,5,don't know,,,,,19,MBxKSF4_50,MBxKSF4_41,MBxKSF4_50,MBxKSF4_41,MBxKSF4_50,MBxKSF4_41,MBxKSF4_50,MBxKSF4_41,MBxKSF4_50,MBxKSF4_41,MBxKSF4_50,MBxKSF4_41
F5_MBxKS_122,5,don't know,,,,,20,MBxKSF4_61,F5_MBxKS_130,MBxKSF4_61,F5_MBxKS_130,MBxKSF4_61,F5_MBxKS_130,MBxKSF4_61,F5_MBxKS_130,MBxKSF4_61,F5_MBxKS_130,MBxKSF4_61,F5_MBxKS_130
F5_MBxKS_123,5,don't know,,,,,21,MBxKSF4_63,MBxKSF4_45,MBxKSF4_63,MBxKSF4_45,MBxKSF4_63,MBxKSF4_45,MBxKSF4_63,MBxKSF4_45,MBxKSF4_63,MBxKSF4_45,MBxKSF4_63,MBxKSF4_45
F5_MBxKS_124,5,don't know,,,,,22,MBxKSF4_64,F5_MBxKS_119,MBxKSF4_64,F5_MBxKS_119,MBxKSF4_64,F5_MBxKS_119,MBxKSF4_64,F5_MBxKS_119,MBxKSF4_64,F5_MBxKS_119,MBxKSF4_64,MBxKSF4_02
F5_MBxKS_125,5,don't know,,,,,23,MBxKSF4_70,F5_MBxKS_120,MBxKSF4_70,F5_MBxKS_120,MBxKSF4_70,F5_MBxKS_120,MBxKSF4_70,F5_MBxKS_120,MBxKSF4_70,F5_MBxKS_120,MBxKSF4_70,MBxKSF4_28
F5_MBxKS_126,5,don't know,,,,,24,F5_MBxKS_101,F5_MBxKS_121,F5_MBxKS_101,F5_MBxKS_121,F5_MBxKS_101,F5_MBxKS_121,F5_MBxKS_101,F5_MBxKS_121,F5_MBxKS_101,F5_MBxKS_121,MBxKSF4_02,MBxKSF4_30
F5_MBxKS_127,5,don't know,,,,,25,F5_MBxKS_102,F5_MBxKS_122,F5_MBxKS_102,F5_MBxKS_122,F5_MBxKS_102,F5_MBxKS_122,F5_MBxKS_102,F5_MBxKS_122,F5_MBxKS_102,F5_MBxKS_122,MBxKSF4_28,MBxKSF4_34
F5_MBxKS_128,5,don't know,,,,,26,F5_MBxKS_103,F5_MBxKS_123,F5_MBxKS_103,F5_MBxKS_123,F5_MBxKS_103,F5_MBxKS_123,F5_MBxKS_103,F5_MBxKS_123,F5_MBxKS_103,F5_MBxKS_123,MBxKSF4_30,MBxKSF4_36
F5_MBxKS_129,5,don't know,,,,,27,F5_MBxKS_104,F5_MBxKS_124,F5_MBxKS_104,F5_MBxKS_124,F5_MBxKS_104,F5_MBxKS_124,F5_MBxKS_104,F5_MBxKS_124,F5_MBxKS_104,F5_MBxKS_124,MBxKSF4_34,MBxKSF4_56
F5_MBxKS_131,5,don't know,,,,,28,F5_MBxKS_105,F5_MBxKS_125,F5_MBxKS_105,F5_MBxKS_125,F5_MBxKS_105,F5_MBxKS_125,F5_MBxKS_105,F5_MBxKS_125,F5_MBxKS_105,F5_MBxKS_125,MBxKSF4_36,MBxKSF4_62
F5_MBxKS_132,5,don't know,,,,,29,F5_MBxKS_106,F5_MBxKS_126,F5_MBxKS_106,F5_MBxKS_126,F5_MBxKS_106,F5_MBxKS_126,F5_MBxKS_106,F5_MBxKS_126,F5_MBxKS_106,F5_MBxKS_126,MBxKSF4_56,MBxKSF4_03
